b_Intercept,b_ccAge,b_age,b_datacollectionremoteMunsupervised,b_studyversionbox,lprior,lp__
-1.07447194643912,-0.106848732735658,0.466684866392579,0.688071193691879,1.07083722978813,-1.92037131954547,-280.710852319675
-1.34125032858468,-0.21536919611928,0.541958782426507,0.86317873994254,1.21451259486751,-1.92576342056658,-281.579386155913
-0.983229788006913,-0.0805601772638844,0.406138510947942,0.732209819003977,0.881387337785788,-1.92020842570731,-283.110807534095
-1.12666279731373,-0.154301994241237,0.479044362686493,0.741328898094912,1.04826023222075,-1.9221285650744,-279.487858388829
-1.23629372065096,-0.134361070839033,0.505639241111749,0.84695814901191,1.12105333181795,-1.92318670786129,-279.573246011781
-1.12266205713663,-0.125498386984343,0.465078049447965,0.743454156872085,1.00071038317614,-1.92316034246867,-279.74363338642
-1.04039114808083,-0.0329205052644499,0.601378363180167,0.578392792139949,0.928912749214276,-1.92491903209612,-289.271372423235
-1.25072715454157,-0.166928422428212,0.520473773016601,0.758058091180594,1.19768466538312,-1.92374129282254,-279.903574617829
-1.18225662781097,-0.102297019745476,0.428596148700133,0.857998141971043,1.03920814157711,-1.92248561091601,-280.585668718045
-1.02406943652388,-0.132778207661784,0.436149545210998,0.73798093208366,0.940074718347045,-1.92043634743945,-281.131368110862
-1.34922910566301,-0.145667395875564,0.568670718804615,0.859350590160497,1.19798563357628,-1.92692343598474,-281.647055158221
-1.0371044777265,-0.150162708507519,0.439955262117157,0.63789989265593,1.10321742122127,-1.91925226311568,-282.488375127756
-1.21649467754128,-0.158135237397643,0.496504243107251,0.702601292241821,1.13256441512035,-1.92522202537271,-279.857982938532
-1.14960032630899,-0.0704901052766946,0.590846244693871,0.804919100457255,0.99892998269334,-1.92329209795748,-283.066580098279
-1.22652931542318,-0.100585011611378,0.589580171921086,0.718939483022654,1.1231485682542,-1.92577017175955,-282.220261569026
-1.16216254066254,-0.133255174394096,0.522590576773055,0.670666757821254,1.06013858621814,-1.92528617018421,-280.592831003421
-1.21040974723574,-0.101283605281364,0.478194622035173,0.819649301010874,1.05331458508381,-1.92444165596694,-279.924730459111
-1.19708996959568,-0.184827611132457,0.437998268378416,0.771794644127832,1.02990793836573,-1.92567998521033,-280.656230492947
-1.08535290521882,-0.111812168663296,0.547269919435017,0.795286694823519,1.059009988917,-1.91942414589851,-281.884717717965
-1.23689643233065,-0.22070321164829,0.457160641176229,0.707762474921306,1.20347281110961,-1.92398221083685,-281.271041820735
-1.28410217911795,-0.213706172659938,0.431186563193057,0.760606041851205,1.22499583408756,-1.92459077993527,-281.934963654084
-1.28470677356394,-0.147406178483983,0.442609531673613,0.668636738264573,1.07783589534162,-1.93316944020722,-284.826339022455
-1.29962058586987,-0.112520241575032,0.428137385666778,0.703141306408215,1.13394008504432,-1.93057637556838,-283.382808692951
-1.33311876735024,-0.0956511427891808,0.474234653301145,0.71937859364763,1.24030715349003,-1.92817516829805,-282.357282076073
-1.19073534649293,-0.164381834321944,0.439743460674081,1.00779754532813,1.04739742775072,-1.91998101445037,-283.048746749242
-1.13412266101447,-0.132922301043514,0.544229777597263,0.87797842017733,1.01256235434628,-1.92079193592679,-280.959364384176
-1.17879341442922,-0.165145612331591,0.436339541740294,0.590669545678352,1.1702799229391,-1.92459505842477,-281.649615649806
-1.17897217987275,-0.105486171121555,0.460850691949055,0.698177405547608,1.12956259226291,-1.92329186957504,-279.999168777697
-1.19099781100346,-0.197007895456635,0.533843397405821,0.840897444687175,1.05140538870946,-1.92310688514044,-280.309080740153
-1.27553670766916,-0.093093311692124,0.445110092888276,0.722847589903538,1.22457863833133,-1.92498275379441,-281.517802738575
-1.10314777544218,-0.183207303691657,0.510548047882189,0.822880625860758,0.955713444306105,-1.92186769355398,-280.70594869645
-1.07559777036807,-0.150131637851881,0.384851121874024,0.664417969177502,1.01848850952944,-1.9220292457389,-281.704145693811
-1.30799812816014,-0.144595423024354,0.588617431789699,0.894616558546869,1.17358507716437,-1.92438305608231,-281.614908226489
-1.18217258127169,-0.159985908373294,0.487437691250231,0.826427963383477,1.04043766944136,-1.92322572516931,-279.468631948416
-1.18089444668327,-0.23487445730913,0.50067899654462,0.883988680919494,0.995221234730625,-1.92324568493469,-281.581073492952
-1.28316325463185,-0.0986149921125101,0.514495740191037,0.744479423515964,1.21130335573678,-1.92539631410489,-280.743376630532
-1.12229955125954,-0.245392373752552,0.457578402875581,0.691947155085552,1.12104178982084,-1.92112249467292,-282.14057385021
-1.2176341916994,-0.048277080849211,0.505518024742045,0.85718066950947,1.02131661599107,-1.92493264219571,-281.865566611024
-1.09527992973641,-0.240681769688062,0.449852722476867,0.754801717947181,1.08417820180094,-1.91985442510992,-282.455440872999
-0.940102956957995,-0.188999333017593,0.44356194806697,0.665219393332733,1.00336950276121,-1.91800177663492,-285.404967986751
-1.38174103760332,-0.185734676601836,0.539060418827685,0.845341463842831,1.17411550521894,-1.93056513912507,-282.933600619104
-1.23723865030875,-0.224267651244885,0.555900952584223,0.929484790625119,1.15523313020889,-1.92082256393205,-282.363992016274
-1.34834540846256,-0.208996765338706,0.536381508315395,1.04769578810477,1.22772377077932,-1.92153201228437,-284.337712510922
-1.30407262216019,-0.255645472348863,0.517987404837084,1.04303419136815,1.1959322417707,-1.92056614191459,-285.39647600067
-1.13773714157061,-0.0494912365903658,0.41923948236178,0.568570884986759,1.05848895266636,-1.92639273986842,-284.139713509952
-1.02242082845559,-0.028622465352206,0.474756885862326,0.548144815877313,0.945281476281296,-1.92400144530258,-285.437170530573
-1.11433405431655,-0.0986912703052858,0.447011150544934,0.65443161649605,1.10976173567725,-1.92166092814915,-280.747551681573
-1.20010211124066,-0.178142503303925,0.4541749860015,0.834128747547408,1.05989234591188,-1.92338222358599,-279.850975695055
-1.23900392333466,-0.114642703024866,0.510278562831734,0.693637597161778,1.15414796656129,-1.92605096521526,-280.460345053491
-1.20909516444225,-0.117084463991111,0.546469967153115,0.647590582766055,1.21467664274985,-1.92359276565128,-281.33528000666
-1.15033920235109,-0.107968992017899,0.479099650914931,0.627964414715147,1.1461731597934,-1.92295190082678,-280.638549860317
-1.38652662689975,-0.211128602942463,0.614546573089388,0.971042736851046,1.27207800454957,-1.92385581183684,-284.550318452383
-1.06222451148296,-0.152993274742079,0.473589886572016,0.713275482453118,1.10105903339083,-1.91907374200501,-281.663955115025
-1.06132226184851,-0.199049205188016,0.479123164298559,0.725788254931949,1.04815718264848,-1.9198310982307,-281.32849692618
-1.13454642865848,-0.121823450263091,0.419861080363404,0.610980807050399,1.13930068084253,-1.92268853581021,-281.42560169148
-1.33303170165783,-0.187396178678921,0.478384663624788,1.03445695814336,1.11515576406564,-1.9241151225324,-282.965141479687
-1.15343159010873,-0.095277710326742,0.472163395539481,0.586611217777759,1.17316426921871,-1.92323442461018,-281.614250698091
-1.15932996011385,-0.119922690157988,0.473051558190502,0.596421877026843,1.20432269699372,-1.92246025599362,-281.456660860565
-1.21344590850167,-0.171088586413071,0.5196022862605,0.940329090110213,0.979949773792859,-1.92408030269797,-281.253678880136
-1.14652891971804,-0.0424396378128445,0.431327984437481,0.716528074628628,1.06175872473165,-1.92311917120775,-281.79828041479
-1.05534194673694,-0.0424540168649159,0.509388676735242,0.664729121418879,0.989755381641621,-1.92189003409697,-282.691488709377
-1.1782786974686,-0.159986083046646,0.457355807540723,0.775446699053147,1.12103789417619,-1.92189499913755,-279.645129553825
-1.2491818278494,-0.124706736112764,0.495721970047415,0.82589303552854,1.11030962361234,-1.92468083625371,-279.685507337902
-1.36195628037788,-0.181341027989013,0.566717677124731,0.884279587969317,1.1526249943964,-1.92880506826234,-282.57484788633
-1.32077904994059,-0.180959719506763,0.57600864353656,0.825013654560904,1.16496164010549,-1.92731853256322,-281.73220520316
-0.994364351138573,-0.0946362896501231,0.463277502641018,0.708219684810679,0.94403841064001,-1.91977232721997,-281.998525853309
-1.42512021669807,-0.212209174963756,0.51119392727365,0.848423472299183,1.28462234249227,-1.92903099067109,-283.502492905405
-1.01658613833599,-0.0814402651209662,0.392001039904619,0.734741759490654,0.973139089800818,-1.91952598051287,-282.983645707177
-1.27850946134709,-0.150061528404361,0.573079755034448,0.884815183146706,1.12250550308961,-1.9245863531863,-280.990378074484
-1.06763460878,-0.114149692119041,0.396755531438948,0.683898739291227,1.02921265528601,-1.92104475554271,-281.457850206866
-1.30453518297881,-0.275946745521742,0.534745206688269,0.786119220169165,1.19978445175762,-1.92614733518668,-283.155569118577
-1.04745785347452,-0.0241916807269538,0.44225872950177,0.782638518381586,0.963945829678553,-1.92003122775012,-283.363512913372
