b_Intercept,b_pe,b_age,b_datacollectionremoteMunsupervised,b_studyversionbox,lprior,lp__
-1.21267806946291,0.0271431571353425,0.445040888466284,0.733601017816921,1.0286907433446,-1.92754653622853,-284.697897733933
-1.1610327771569,0.0763152494042358,0.551392042565541,0.851971895631142,1.04919323208273,-1.92130673146445,-284.272558391737
-1.2006921972813,0.0144342490409026,0.500479531392216,0.795851204900122,1.12354456449863,-1.92235525046932,-283.152130276854
-1.18269933691971,0.122313866424471,0.471731779675143,0.746935284132825,1.04774744987775,-1.92449334495658,-284.265932111588
-1.16753021853736,0.122496081520731,0.493990273149931,0.756950532382689,1.06028736449861,-1.92310218383751,-283.913610758097
-1.24986282981239,0.0350796217332073,0.469117762261317,0.899756935294493,1.12376383367247,-1.92244117661536,-283.984358311682
-1.17357712533203,0.00334660152990988,0.527133312186129,0.660682900813392,1.12345165110475,-1.92404196700547,-284.227082230045
-1.08441000365148,0.071955495231697,0.471286511880156,0.774611867937906,1.01265662188022,-1.92039273249611,-283.557580995299
-1.07013324141916,-0.00058325579217882,0.494699699496247,0.677413854138756,1.02828077098718,-1.92130256358783,-284.107001178756
-1.23746727899526,0.0772692964472345,0.469227013879131,0.839658827420118,1.10414590786276,-1.92361088700252,-283.475873084362
-1.18609130570938,0.0466923767992557,0.515630608671584,0.771802179635332,1.06138915761296,-1.92387452782524,-283.047752192471
-1.1051855892408,0.0529426959160657,0.474922723015872,0.713909068723281,1.049847994791,-1.92147728282706,-282.999510351094
-1.01004449823359,0.0452179407012603,0.490313365083775,0.784645744546685,0.923006402478431,-1.91949297560254,-285.079482212297
-1.12713369471185,0.144293492066144,0.469858113760417,0.620324665549338,1.06983003804536,-1.9237705921105,-285.308297860785
-1.25713305848791,0.12236539478301,0.457891836578493,0.740340973304596,1.21904980545196,-1.92340208299859,-284.623526378121
-1.13296832824855,0.143009636701573,0.480351985156936,0.584909278628231,1.0969939051329,-1.92410473363467,-285.607317694701
-1.17581200753854,-0.0672395793332525,0.468290228840495,0.889519891654948,1.01263927814663,-1.92233974031436,-285.883754576969
-1.11392179297061,0.101607654768695,0.4734294991314,0.70097607854231,1.01892028220707,-1.92285511437751,-283.689011714864
-1.23795769029229,0.0443945467246981,0.485745234894332,0.71221043180788,1.18701224411306,-1.92420684884701,-283.371915864027
-1.16794634276985,0.0733867460367595,0.507263615644776,0.831589604957927,1.05027827257098,-1.92193753929625,-283.257797344037
-1.12436486253441,0.142456812039729,0.523378789084949,0.81173320651415,0.945612722946231,-1.92298732548503,-286.449454872879
-1.16794868179481,-0.00496189369757252,0.436842094829402,0.666896750013603,1.22529337334777,-1.92087151247448,-285.991395607939
-1.17400554590328,0.112425705296472,0.556028115834832,0.808186782600594,0.987903425963977,-1.9245178749409,-285.771802013729
-1.21821744827956,-0.0136156788637466,0.478693789877109,0.757108913612771,1.07050056420011,-1.92587931306139,-284.130618100124
-1.09497552253927,0.110923111009256,0.510314865661992,0.709444280278155,1.10794083533988,-1.91983615716433,-284.591114905559
-1.27834006136722,0.0844355291732944,0.523759647378914,0.695342385378531,1.14731737077453,-1.92851099961804,-285.175990436598
-0.994489510520028,0.048209676477718,0.47132902984415,0.800434128938271,0.882065170029533,-1.91950187062322,-285.582763515221
-1.02864153643958,0.0475167750876557,0.539979109864859,0.729647870194693,0.923655155425915,-1.9210526182336,-285.41742184444
-1.06830500777283,0.0239535651662472,0.49364848429403,0.778712880958731,0.979940183479132,-1.92050867146008,-283.783201411687
-1.17352196019998,0.0746792593644029,0.431808637141499,0.82741383824634,1.0923819158221,-1.92115922155287,-283.907450290186
-1.17352196019998,0.0746792593644029,0.431808637141499,0.82741383824634,1.0923819158221,-1.92115922155287,-283.907450290186
-1.12594585982926,-0.0128007050650881,0.442979163147868,0.784423337062701,1.07158403138885,-1.9206419674568,-284.251228816961
-1.22443848428739,0.0843638553370065,0.527252931841938,0.745143816670635,1.05973826087002,-1.92678528225701,-284.507974660495
-1.02120372370657,0.0549874792320738,0.481171720912888,0.865341670860725,0.937409420433955,-1.91856926643529,-286.228940137519
-1.28931109064217,0.0640835287200053,0.464661947873802,0.647542971640972,1.17576079221593,-1.92961015260604,-285.978684363589
-1.10833687556931,0.0603973377238865,0.550349027301566,1.00917605392074,0.905157111435816,-1.91982188287565,-288.203402091254
-1.22584949816148,0.0531228487220817,0.44007952937586,0.618772824019949,1.26187583919806,-1.92342158643331,-285.327836371424
-1.22944967213236,0.00633817005677292,0.429733464798485,0.677712273586194,1.26686761098985,-1.92227098825459,-286.096169828055
-1.24357283534477,0.114519508723038,0.504633557286703,0.964012101913764,0.99947303882447,-1.92414695078199,-286.568433402755
-1.1376188223307,0.0598786630204698,0.475087490519768,0.902308155708836,0.989213653997058,-1.92080766459811,-284.229511192399
-1.01623095955138,0.0611194507528259,0.460798551735958,0.688277406342323,1.08917826306163,-1.91824983979879,-286.369444131842
-1.32069274462779,0.0158474408868844,0.502462793083574,0.785209476078226,1.17116669776184,-1.92793713118878,-284.888432290922
-1.19823935879291,0.0971917343126008,0.502142987533169,0.543111222843074,1.25690789699755,-1.923837639984,-285.785234255034
-1.11865843976973,0.100363215912431,0.473607681965573,0.542047356055486,1.19095493678868,-1.92177830366234,-285.435839269922
-1.08771843215736,0.0570234858859888,0.564213128893084,0.744468222650047,1.03631390761396,-1.920602026983,-284.843216927204
-1.22491247356487,0.051367842221485,0.458710054353866,0.826037269634754,1.01428856260623,-1.92620144855801,-284.247934137092
-1.13563286382327,0.0516034018380414,0.500980487402819,0.672324655891952,1.18944828880554,-1.92028733045685,-284.311708133858
-1.22034537037833,0.0268809133592824,0.507274161945949,0.813172308190598,1.02381944532651,-1.92605600286315,-283.967678580131
