model,elpd_diff,se_diff,elpd_waic,se_elpd_waic,p_waic,se_p_waic,waic,se_waic
mPerTrialVerificationChoice,0,0,-131.620916237109,7.16998156325618,17.2211473281248,1.179540012207,263.241832474217,14.3399631265124
mPerTrialNull,-0.252645515765289,1.20209700153027,-131.873561752874,7.04332611096089,16.0553198926256,1.10248735799234,263.747123505748,14.0866522219218
mPerTrialPI,-0.552126129144353,0.978695982114595,-132.173042366253,7.16953395618903,17.160391289116,1.18591811003711,264.346084732506,14.3390679123781
mPerTrialRepeatedTestquestion,-1.09634450638439,1.27242706118862,-132.717260743493,7.09947861799745,16.87068370036,1.15875667105299,265.434521486986,14.1989572359949
mPerTrialHintsEyes,-1.21499550034633,1.25588841714582,-132.835911737455,7.0963253143914,17.0480113253742,1.19009789783098,265.67182347491,14.1926506287828
mPerTrialParentSpeech,-1.60603013740706,1.21149966515004,-133.226946374516,7.16406710679752,17.5980790538988,1.28496343424434,266.453892749031,14.328134213595
