model,value
mPerSubjectNull,0.000000323357619626937
mPerSubjectPI,0.00000191116753733153
mPerSubjectRepeatedTestquestion,0.703300025685108
mPerSubjectVerificationChoice,0.296695867414982
mPerSubjectHintsEyes,0.000000113049562822801
mPerSubjectParentSpeech,0.00000175932519019817
