model,elpd_diff,se_diff,elpd_waic,se_elpd_waic,p_waic,se_p_waic,waic,se_waic
mPerSubjectRepeatedTestquestion,0,0,-41.7625829745606,5.0832963982496,4.44359451214626,1.29291944300409,83.5251659491212,10.1665927964992
mPerSubjectPI,-2.36385699241827,3.59651962779776,-44.1264399669789,6.09556028632007,4.55646422593686,1.29996820277482,88.2528799339577,12.1911205726401
mPerSubjectNull,-2.86566621665585,3.60872327493459,-44.6282491912164,5.63576316367643,4.10224892601096,1.19098674061671,89.2564983824329,11.2715263273529
mPerSubjectVerificationChoice,-3.16658222305003,4.48438828676311,-44.9291651976106,6.01124400164282,5.13358914358286,1.52324881709313,89.8583303952212,12.0224880032856
mPerSubjectParentSpeech,-3.46057951284506,4.20493781809301,-45.2231624874057,5.31454581214937,5.18483761251062,1.3755747937401,90.4463249748113,10.6290916242987
mPerSubjectHintsEyes,-4.61802640366586,3.77342016013058,-46.3806093782264,5.92913952317127,6.0965747589747,1.78027533363567,92.7612187564529,11.8582790463425
