Predictor,WAIC,SE_WAIC,Weight,ELPD_DIFF,SE_ELPD_DIFF
Age (scaled), TANGO score (scaled),570.219322167733,26.3734354969398,0.975690892600593,0,0
Age (scaled),577.603911682974,27.1653299652539,0.0243091073994018,-3.69229475762011,4.14980369192582
Null model,636.009283450455,28.7268824277522,0.00000000000000504898030156827,-32.894980641361,10.6090138636337
