n,mean,sd,min,max,skew,kurtosis,se
109,55,31.6095976985894,1,109,0,-1.23307435094995,3.02765035409749
109,14.9633027522936,5.54096963954697,1,40,1.72306385438309,5.6509814425894,0.530728636637045
109,7.5045871559633,0.921063728954987,3.5,9,-0.670464416012648,1.92496382115401,0.0882219049956897
109,3.71559633027523,0.923878129682117,2,7,0.304338893192434,0.492028397380306,0.0884914756950488
109,0.825688073394495,0.791670019843749,0,4,0.86855399023069,1.09456323278264,0.0758282354227893
109,0.688073394495413,0.741585485025434,0,4,1.23472343566913,2.66573216803337,0.0710310070295837
109,0.600917431192661,0.560174478910785,0,2,0.22848201282886,-0.866324856609064,0.0536549840210812
109,0.628440366972477,0.541789173004638,0,2,0.176158175676266,-0.696007212674642,0.0518939910952072
