b_Intercept,b_hhTotal,b_age,b_datacollectionremoteMunsupervised,b_studyversionbox,lprior,lp__
-1.20534366762125,-0.0517151673789451,0.59174479423148,0.876830461474699,0.987824722021551,-1.92515921303027,-286.561301889702
-1.18236092957239,-0.0558943213879527,0.579826254600766,0.859983601104443,1.00339215410349,-1.92380958876076,-285.764316630454
-1.22946843368996,0.086311994886694,0.370716827513487,0.757725461726022,1.16434654392606,-1.92295326876778,-286.428786765472
-1.12702740330208,0.100614773465358,0.446440979278157,0.678545657054622,1.14846004668332,-1.92042332422202,-284.694318421898
-1.19337542551077,0.0150482382096454,0.507926950334082,0.742525977385425,1.18593202444649,-1.92146066861031,-283.947496473289
-1.19407696451553,0.0326541216104277,0.48091295483756,0.829702697470474,0.984031404083713,-1.92525560793246,-284.463418040475
-1.24867612834593,0.0252698120255013,0.430510042842545,0.75835839949775,1.25398058655375,-1.92177118021016,-285.561179273301
-1.15357976129639,0.123622579815692,0.467347041488159,0.586806401466533,1.0388162722559,-1.92688801886331,-287.071304116377
-1.234195124604,-0.00697415466762252,0.463928935488345,0.82084312653199,1.19411435384182,-1.92158304718452,-284.640061958384
-1.32815338466627,0.0325459538392573,0.450679905244013,0.893965444971695,1.21755443423861,-1.92371868395786,-285.865667791233
-1.2305582271214,-0.00418914123550768,0.455943929799777,0.938471430778583,1.11285467975053,-1.92117612683341,-285.241150227386
-1.10453314954039,0.0520590748470821,0.479862533791257,0.650810101156178,1.07532920142422,-1.92191948122571,-283.692781385674
-1.16283852068831,0.0637074807333432,0.527338487882547,0.82926790857398,1.14701959760053,-1.91956930196167,-285.450084227381
-1.0796805057847,0.0195977593312321,0.451758065049611,0.735194807608956,0.980848256316728,-1.92166174097058,-283.686310200512
-1.04168013323039,-0.0271320095324789,0.395368827992624,0.716134958145778,0.919249084932647,-1.92204702207985,-285.703976382126
-1.22197683637754,0.0201945358198452,0.435226761791707,0.831396735169235,1.06222013841524,-1.92428744514254,-284.120579563013
-0.997357571392675,0.0290124220431942,0.435459225632614,0.634659712047719,0.998664707043647,-1.91976464066402,-285.349718456636
-0.94616549557638,0.0520278299297209,0.454059505154277,0.687282060713366,0.901590405481885,-1.91911729520186,-286.70234841643
-1.13306678443633,0.0363664016080091,0.486365573906108,0.871198106657926,1.00668118232192,-1.92074990789089,-284.325591092869
-1.21256411276132,0.0233067568529449,0.471270967184447,0.593389033815398,1.1633738323379,-1.92654461024002,-285.205859198694
-1.11413671414082,-0.0316609090972987,0.469299867248462,0.642767023226874,1.07770382369495,-1.92282697371314,-284.707805270306
-1.19811536265672,0.137263942542293,0.476365600971723,0.811866906012374,1.25721448483601,-1.91877103759528,-288.725091305036
-1.16814935480247,0.000160169936812921,0.451299379166541,0.591616052126219,1.02265538022981,-1.92910100271227,-287.054823902546
-1.12697198381913,-0.0387908665832063,0.484694474102112,0.778861797581457,0.898183953607216,-1.92589997322738,-285.525276505797
-1.18473645558585,-0.0354205438900035,0.451268910733828,0.657097271234912,1.14058978808665,-1.92430948702534,-285.186419528882
-1.21979011517712,0.112394037253455,0.494151245168469,0.782230848953448,1.16468100578771,-1.92197611624567,-284.952570898176
-1.20903271730634,0.0155611176664783,0.503604409334914,0.843343373790501,1.02394587824065,-1.92458387754521,-283.93373935119
-1.25914153135922,0.00909400033981911,0.488760219521847,0.866366347979511,1.13586937852096,-1.92333076476707,-283.931421641437
-1.03407156082233,0.0317832646471405,0.428793029766512,0.67030696037331,0.968491572178339,-1.92117014068441,-284.481008095666
-1.26591553727254,-0.00470431866567634,0.490056546818968,0.785966549660794,1.07837800655248,-1.92783674541556,-284.771040493604
-1.17317705027773,0.0538449145165015,0.547176860380859,0.816382342382774,1.12578156343363,-1.92059895370957,-284.845350040915
-1.28200473878495,-0.0105548600527644,0.488189794036467,0.707497308310668,1.21107507982779,-1.92626485927977,-285.01253044059
-1.20202648571359,-0.016483282383836,0.471928190187403,0.923560573096118,1.04421919011826,-1.92197644579266,-284.36042070077
-1.12310723769277,0.0271351391213671,0.4921888714608,0.558962224034048,1.07894385361677,-1.92496571601473,-285.256126413057
-1.26999318312937,-0.0321901818919506,0.437838712431067,0.953542570348624,1.15169666528846,-1.92172736877092,-286.536001784205
-1.20386505562303,0.086881956168608,0.490965601130243,0.734916717937663,1.26964104962368,-1.91989780306674,-285.878107408876
-1.17334816328563,0.072789810767808,0.533086694460388,0.80747303953843,1.10594811149209,-1.92112691789975,-284.627086153978
-1.14832592585002,-0.0308405679556023,0.513803717582829,0.746204664568243,1.10555204443116,-1.92160756584795,-284.112784230128
-1.28989857055155,0.116840339766202,0.563691525977464,0.710777383609015,1.21062659732705,-1.92604307009694,-286.921551427445
-1.11387869707818,-0.0560471684387905,0.452860708256534,0.925733106333559,0.991400362554124,-1.91978753578522,-285.963784435099
-1.19173766658267,0.0873846063762688,0.530173294042275,0.587391935161801,1.18528200457389,-1.92444582626529,-285.387110999677
-1.14755124025715,0.157236186462727,0.52127725095406,0.610210938459584,1.08358409256375,-1.92427864659796,-287.614278019074
-1.18938773590594,-0.0362596700091579,0.45683903157165,0.967101687988369,0.892105254362341,-1.92485087155014,-286.475359968992
-1.08030857998825,-0.0246799952587315,0.467361654836895,0.796704255822468,0.843095123961588,-1.92445512495207,-285.803814683627
-1.22129753699656,-0.0695290125876437,0.43917360853991,0.846723586536072,1.03197240596225,-1.92531947764009,-285.531690025263
-1.1104886336364,0.0573994472710405,0.56634422218447,0.705638658535593,1.14116397036708,-1.91979034647094,-286.095225733641
-1.21361360341848,0.0799641307905975,0.455676060692694,0.670018043368238,1.1590196371076,-1.92442620865132,-284.095663925036
-1.1098769367894,0.0176973901846054,0.459781416162929,0.639588309432845,1.0363604601842,-1.9236325972674,-283.960945934275
-1.34437882606746,-0.0102040087789371,0.515826050924598,0.833066784572229,1.16300959114927,-1.92856044778532,-285.753698858672
-1.1392630317099,0.0802968800812939,0.432054812100629,0.777880038267052,0.997266335173568,-1.92284097081865,-284.604938152819
-1.20669250044217,-0.0236838209343867,0.552102821527329,0.686716479504126,1.22339453681784,-1.9224053401316,-285.719926169618
-1.19996282919598,0.0430150990986591,0.447528931905123,0.68858469576582,1.1606821807368,-1.92338428601095,-283.726450246723
-1.16620669211773,0.0489190836327678,0.505669183657244,0.767112368026368,1.06354217241764,-1.92275995181955,-283.481786957276
-1.1900005337173,-0.0426304990597588,0.470431684065004,0.968621095638918,0.951679639255971,-1.92307900759077,-285.393650991173
-1.14325258905723,0.054552242562736,0.535871837679366,0.633756126117774,1.12855313100782,-1.92270491667444,-284.539100326596
-1.08284454025101,-0.031325827363787,0.523958802163263,0.733948461316568,0.948744055032153,-1.92297260772838,-284.845465240156
-1.19030103276207,-0.0157094376386816,0.462497105375235,0.761910258230952,1.08315082206556,-1.92379523903839,-283.56162660272
-1.18773430505495,0.023712108119539,0.486144648617248,0.859481333988711,0.987875241664689,-1.9240887114679,-284.172340196333
-1.26063960862496,-0.0443924154754013,0.562281824179039,0.833736916960385,1.12544990567937,-1.92485568617649,-285.06225526812
-1.35904189284639,0.0144188159373986,0.614269277626664,0.775764496820065,1.21550155973354,-1.92924345842491,-288.34046934506
-1.14936835621323,0.0366948044574461,0.547499131814931,0.706587736732259,1.19741788041652,-1.92006419228511,-285.436236742469
-1.17471554923647,0.0416560532256528,0.500214542600776,0.747818744489429,1.0941884702054,-1.92276666811271,-283.26146113815
-1.19867088192397,0.0383349393181893,0.514502916476255,0.703414891332476,1.12071384691619,-1.92426908138612,-283.647748683208
-0.948856724494162,0.0591775756732995,0.453077260425219,0.50740502013576,1.05842628988843,-1.9188945868196,-288.157493689547
-0.879632692160111,0.115390629543895,0.408990298196166,0.566068456690928,1.04131602448339,-1.91731348023913,-293.14913453343
-1.03721873183409,0.0522579872892854,0.447203291282782,0.608831839120986,1.1187164296001,-1.91917345957492,-285.856613667319
-0.971721465441239,0.0632682958468142,0.47938587592225,0.615027488598898,1.00744620329156,-1.91902145061548,-286.493675545035
-1.29844650146512,0.00130630513374356,0.617744667092159,0.901532575172759,1.13963374294601,-1.92467125142731,-287.01547387266
-1.29573038138189,-0.0073244431820259,0.552779562043951,0.981284534003847,1.15495554044735,-1.92225319727858,-286.08295166386
-1.26355528857756,-0.00654597182860882,0.557570197221361,0.907672179240418,1.11522614219403,-1.92337017611939,-284.868398854396
-1.02115256027107,0.035428429849043,0.385223921435702,0.655472487942302,0.954711742767118,-1.92118067321597,-285.579373107507
-1.18960692099543,0.0348682828347453,0.426352458319783,0.796791797567413,1.09922752438028,-1.9222728470521,-283.906907677245
-1.07683821312558,0.0878139792832483,0.461073454075266,0.759138583192099,1.01650236155085,-1.92009229391119,-284.843869072307
-1.10417924239428,-0.114726799451683,0.420944087150345,1.02634464551523,0.874040017817742,-1.92040514299008,-289.597788025388
-1.37706154051794,0.168984914548359,0.515716536211899,0.625906350876541,1.44151574183508,-1.92528954315095,-290.269306268526
-1.33670610369693,0.157096607171452,0.483190915286038,0.582721083282533,1.38909271148336,-1.9258222215802,-288.934021927393
-1.24662154212104,-0.0482248228911983,0.505300316137151,1.05122755388079,1.02158027621601,-1.92219782575096,-286.605066213759
-1.10496629208177,0.098819916146369,0.464840827005085,0.437567268203648,1.1729392453503,-1.92357818620492,-287.196470650865
-1.21925546431596,0.124236611814351,0.435038443835179,0.661345206325304,1.22226579868343,-1.92280775712828,-285.38286625666
-1.19492514690218,0.085448313663295,0.485373144550899,0.781543645407599,1.03363544674242,-1.92462702531566,-284.735686042141
-1.19413841331528,0.0485598991196367,0.482693873579594,0.770879794532256,1.15790594115433,-1.92148715327869,-283.622504279713
-1.16801692323653,-0.0527728467691557,0.539969942244968,0.751562483040647,0.97966896316014,-1.92646201358456,-285.811876607292
-1.26989249900257,-0.101729643497829,0.522029780009971,0.889303226299752,1.09472949435514,-1.92524683470296,-286.233523961563
-1.17435005168957,0.10727694530356,0.496510493345953,0.855786464393544,1.03409587013673,-1.92184009771614,-285.878140063136
-1.14763133861011,-0.0335223571495569,0.483492363602453,0.700567667471647,1.02195384161153,-1.92496709111579,-284.384155468743
-1.30938875657015,-0.00687355935576257,0.463196975740428,0.861803659158288,1.15422443822994,-1.92571111321796,-284.949553666767
-1.15142540142886,0.0412891525924402,0.469788623779926,0.795439255508465,1.04973054903808,-1.92185510795842,-283.384367278286
-1.20847341869799,0.033022690501396,0.471318562804648,0.792897647915142,1.16037140244154,-1.92167973060353,-283.6885380624
-1.20581268597358,0.086558800446081,0.458399663659783,0.713607069981091,1.19097274109168,-1.92211131910201,-284.138614657166
-1.14025418688307,0.0596713879650243,0.471559029680831,0.668966385189663,1.09820727410511,-1.92256125329153,-283.480373000318
-1.23205618375545,0.0694387203202912,0.494465303303869,0.761199956766075,1.18178498176624,-1.92271504875473,-283.854293540096
-1.26446835335846,0.0726017285204873,0.539907899435639,0.734006417145812,1.25262821965087,-1.92294503998222,-284.935866707551
-1.09152349404177,-0.0243948401854764,0.51885664421349,0.897674136378627,0.958433019364158,-1.92003036826635,-285.262360428458
-1.10654623762253,-0.0355352809934026,0.514842917258094,0.897730270838767,0.843907203709074,-1.92355288970395,-286.221159224197
-1.18425558429097,0.102280099770689,0.445862416625624,0.655961120232341,1.23424373056739,-1.92113529246158,-285.131343944247
-1.21914476598767,0.0552624757857879,0.465052609839487,0.6061052318183,1.17333936100621,-1.92606168663687,-284.793134316679
-1.11811036319701,0.0355433386532008,0.441100012925011,0.869325155959106,0.989476542562837,-1.92055154449402,-284.670161300215
-1.11267695249914,-0.0314348986365015,0.473240775145993,0.752951593597631,1.01984193756996,-1.92202427395899,-283.780536854084
-1.06396015314321,-0.000934757824520889,0.433827901354934,0.688436243290038,0.995028206181124,-1.9215900616998,-284.17337210286
-1.1188986156998,0.0102610380085382,0.432346116441054,0.709159637298873,1.04172968241076,-1.92241255902166,-283.662541273438
-1.20595258832937,-0.0238180836693328,0.496710132502704,0.775680285112282,0.987975550936085,-1.92769538728146,-285.206889953937
-1.02130152291643,0.0850283338914617,0.484541518358282,0.589151634050378,1.14055191878324,-1.91858454786914,-287.220875589071
-1.26423963446871,0.0334887493779943,0.463232665042025,0.799688971303745,1.19580213871543,-1.92320919529083,-284.111666197747
-1.2571445048515,0.00998829520681609,0.549021829552821,0.735603305483027,1.22220810146665,-1.92372435837002,-284.663439069294
-1.20059303862766,-0.00983134234147277,0.500746998148049,0.698413879991968,1.15904454046656,-1.92354821853102,-283.959157462759
-1.05135392886636,0.0730814011284848,0.437926596835791,0.869103963736122,1.00054608896545,-1.91827561715086,-287.614182459251
-1.19441466358907,0.0323999812090037,0.453269120269607,0.948455013978869,0.998050301595467,-1.92210349961716,-285.362339432548
-1.2210498682314,0.0791191319942473,0.471444963330819,0.675345758964653,1.04590003186804,-1.92881146234955,-286.289328604789
-1.10938057169938,0.0299399277981211,0.377690120302913,0.471692306797694,1.18679324796421,-1.92287715237226,-288.631663699723
-1.15253917290815,0.082714784106702,0.479185347011605,0.566474929377733,1.14721699623325,-1.923959516977,-284.757906478651
-0.978837506006767,0.0253116846386355,0.489548975183754,0.55178053212364,1.05704588841216,-1.91932635841155,-287.136007913053
-1.06031441949489,0.0407937346054104,0.50658894717156,0.709529517007432,1.00356822265175,-1.92075773794249,-284.305814243828
-1.06031441949489,0.0407937346054104,0.50658894717156,0.709529517007432,1.00356822265175,-1.92075773794249,-284.305814243828
-1.24962351092971,-0.0117198356805672,0.447320696293711,0.839194228711571,1.12349581450627,-1.92388415993979,-284.264923404547
-1.10381232537201,0.0130862913285726,0.462393766013979,0.680713925395143,0.972889791937579,-1.92429823219082,-284.196256834302
-1.17721517687243,-0.00565578339170092,0.389109948347605,0.847516793740216,1.02408387878683,-1.92279886839701,-285.31950464539
-1.11462351555866,0.0209458002324628,0.431490469099116,0.572257378460908,1.07540674605362,-1.92423915482556,-285.059882923588
-1.0443448792132,-0.0553724724549838,0.421652078192717,0.768571138724694,0.90102769426932,-1.92173685335549,-285.665665912267
-1.05699441288969,0.0357689372267383,0.540239546977008,0.512181560525425,1.01479727934681,-1.92446387640098,-287.816693284423
-1.23187261095113,-0.0311670885966313,0.427034564032758,0.850529485316579,1.12795430006496,-1.92267046224786,-285.100898077302
-1.24591222388325,0.0324427199114836,0.498553356841141,0.808982230746911,1.17425056378535,-1.92274438765437,-283.733025177704
-1.28199755209991,0.0173853493627067,0.438002983347273,0.806824274498285,1.12130147109816,-1.92649848413455,-284.885949778832
-1.04613787401959,0.04502862124994,0.483064729220944,0.711366944125883,1.02131226755419,-1.91981716657935,-284.462574329492
-1.14153647495947,-0.0287316926938402,0.484563241169285,0.771849257996258,1.06047045693986,-1.9219070338965,-283.636569788719
-1.10384869723267,0.0648562561835294,0.427286563239367,0.758248998891848,1.04896700913014,-1.92046980396686,-284.28211180125
-1.23239457338909,0.00758389307965594,0.45776271444114,0.8583983462909,1.06344878592321,-1.92425669423937,-283.972632054982
-1.04091183999157,0.146874874913932,0.38963673070332,0.688643969454731,0.944389553612958,-1.92121360691464,-288.067032346061
-1.00578968691852,-0.0366535624068763,0.478201716935982,0.743037507603594,0.95751930403579,-1.91947555639751,-285.687191908774
-1.15916109247691,-0.0197311645637978,0.517472248314527,0.662353337754441,1.225814676958,-1.92071966385758,-286.070859083672
-1.25914400679483,0.000197645507804184,0.390761899372736,0.866633746761,1.16736145875322,-1.92239136980327,-286.602047038845
-1.04346411001521,0.0773482902181752,0.444156249784652,0.661174901298172,0.972209272026272,-1.92148021969164,-284.757190022965
-1.21918656894868,0.0401775915223646,0.427252116379548,0.742834503983608,1.15903239474415,-1.923187473371,-284.073742988756
-1.24194350842618,-0.0438050139964734,0.518040384689895,0.802277344870149,1.0121115423221,-1.92856796801851,-285.861795996503
-1.22252347440726,0.140118975297395,0.472054218179284,0.500267667884976,1.31240339018069,-1.9239449197236,-287.533855987667
-1.26658468836628,0.0298354543430119,0.475622807375225,0.87547297355864,1.08067649387859,-1.92511205386184,-284.450669548133
-1.21610502673405,0.0416240954184075,0.454533524127691,0.696681914976012,1.1107012152587,-1.92568274860122,-283.968939765219
-1.1966706100228,0.124445901971722,0.452436761269516,0.787129896099434,1.05516612294964,-1.92369036071241,-285.808609008554
-1.2081310574681,0.0908201212098235,0.416480514413497,0.657717998860454,1.26657930154369,-1.92135106699801,-285.962171686546
-1.22767792817143,0.0835187962541845,0.543604568200675,0.690285878412376,1.13870309381973,-1.92546445225468,-285.188204602722
-1.11803398557199,0.0139911884442072,0.447087530727635,0.763934373291087,0.920289595975233,-1.92469425371393,-284.669423426589
-1.1351714062767,0.015047388252614,0.507880008107564,0.795050094771578,1.11305714175236,-1.91992757487232,-284.27658787548
-1.07519717436232,0.111583322857379,0.47065373739238,0.60003139355967,1.15905668233328,-1.91959849094588,-285.936762759122
-1.11512859427209,0.0343385597802153,0.526728659143196,0.664500244719864,1.1545169774805,-1.92036993044108,-284.823001271927
-1.16318628877789,0.0786007426713821,0.372899428139875,0.680810796934252,1.03395680491608,-1.92524959548475,-286.164671585038
-1.08099447694621,0.0526613449763482,0.453602236879086,0.64076123873867,1.11283836046418,-1.92025634133712,-284.406177144042
-1.04087611258122,-0.00651734327956124,0.43741781150122,0.728039971458503,0.989781655238676,-1.9201345191694,-284.596959928871
-1.38735981934124,0.145344537702375,0.482307379597723,0.730445230636543,1.37758882709941,-1.92541635412722,-288.754947327697
-1.08399131842369,0.00921141522036834,0.501639206688342,0.747159515814087,0.961190468273942,-1.92220864370942,-283.978499627407
-1.26374231239108,0.0343977222108508,0.415165144181317,0.698525691692417,1.18874101567526,-1.92582311926582,-285.292542477165
-1.0537774651436,0.0438864305039225,0.456073516158542,0.718168346725164,1.03791280951663,-1.91964497899309,-284.419358165288
-1.36364150964505,0.0209237159986855,0.412357848065068,0.770875227467321,1.28725294501234,-1.92664022843048,-287.739203387372
-0.981972051508664,0.0294342904295281,0.471451126640933,0.677583452725258,0.809238160321336,-1.92280725986342,-287.283069286609
-1.30493691117555,-0.0104589322981189,0.471970189647115,0.629889563293552,1.38924576537477,-1.92370888353178,-289.000788240181
-1.10729365653946,0.196222783894282,0.503439672519592,0.754315045625381,0.995435931043326,-1.92147039524893,-290.625623965527
-1.13315335533225,0.0498114273462446,0.46956293266368,0.81046718615521,0.940962182928486,-1.92360703711867,-284.623085373636
-1.13456356410125,0.00744509812963858,0.412631195535874,0.585488622735306,1.1278454733025,-1.92345028512629,-285.491943547741
-1.04363047961311,0.0940719616590507,0.476903391470505,0.517631364705025,0.957471199968208,-1.92504192235907,-287.857850514817
-0.963935345902207,-0.0438939719083674,0.507147994466295,0.837860419151199,0.688963550947908,-1.92220263576382,-290.159752517629
